item_id,module,position,domain,subdomain,item_type,difficulty_band,review_status,review_decision,severity,correct_answer,recommended_action
ITEM-001,1,1,Algebra,Linear equations in one variable,multiple_choice,easy,draft,candidate_for_automated_review,info,A,Proceed to automated GPT-5.5 item review; do not export until the automated gate passes.
ITEM-002,1,2,Algebra,Linear equations in two variables,multiple_choice,easy,draft,candidate_for_automated_review,info,A,Proceed to automated GPT-5.5 item review; do not export until the automated gate passes.
ITEM-003,1,3,Problem-Solving and Data Analysis,"Ratios, rates, proportional relationships, and units",multiple_choice,easy,draft,candidate_for_automated_review,info,B,Proceed to automated GPT-5.5 item review; do not export until the automated gate passes.
ITEM-004,1,4,Geometry and Trigonometry,Area and volume formulas,multiple_choice,easy,draft,candidate_for_automated_review,info,B,Proceed to automated GPT-5.5 item review; do not export until the automated gate passes.
ITEM-005,1,5,Algebra,Linear inequalities in one or two variables,multiple_choice,easy,draft,candidate_for_automated_review,info,B,Proceed to automated GPT-5.5 item review; do not export until the automated gate passes.
ITEM-006,1,6,Advanced Math,Equivalent expressions,multiple_choice,easy,draft,candidate_for_automated_review,info,B,Proceed to automated GPT-5.5 item review; do not export until the automated gate passes.
ITEM-007,1,7,Algebra,Systems of two linear equations in two variables,multiple_choice,medium,draft,candidate_for_automated_review,info,B,Proceed to automated GPT-5.5 item review; do not export until the automated gate passes.
ITEM-008,1,8,Advanced Math,Nonlinear functions,multiple_choice,medium,draft,candidate_for_automated_review,info,B,Proceed to automated GPT-5.5 item review; do not export until the automated gate passes.
ITEM-009,1,9,Problem-Solving and Data Analysis,Percentages,multiple_choice,medium,draft,candidate_for_automated_review,info,C,Proceed to automated GPT-5.5 item review; do not export until the automated gate passes.
ITEM-010,1,10,Algebra,Linear functions,numeric_student_produced_response,medium,draft,candidate_for_automated_review,info,5,Proceed to automated GPT-5.5 item review; do not export until the automated gate passes.
ITEM-011,1,11,Advanced Math,Nonlinear equations in one variable,multiple_choice,medium,draft,candidate_for_automated_review,info,B,Proceed to automated GPT-5.5 item review; do not export until the automated gate passes.
ITEM-012,1,12,Geometry and Trigonometry,Right triangles and trigonometry,numeric_student_produced_response,medium,draft,candidate_for_automated_review,info,15,Proceed to automated GPT-5.5 item review; do not export until the automated gate passes.
ITEM-013,1,13,Algebra,Linear functions,multiple_choice,medium,draft,candidate_for_automated_review,info,B,Proceed to automated GPT-5.5 item review; do not export until the automated gate passes.
ITEM-014,1,14,Advanced Math,Nonlinear functions,multiple_choice,hard,draft,candidate_for_automated_review,info,A,Proceed to automated GPT-5.5 item review; do not export until the automated gate passes.
ITEM-015,1,15,Problem-Solving and Data Analysis,One-variable data distributions,numeric_student_produced_response,hard,draft,candidate_for_automated_review,info,28,Proceed to automated GPT-5.5 item review; do not export until the automated gate passes.
ITEM-016,1,16,Algebra,Linear equations in one variable,multiple_choice,hard,draft,candidate_for_automated_review,info,B,Proceed to automated GPT-5.5 item review; do not export until the automated gate passes.
ITEM-017,1,17,Advanced Math,Nonlinear equations in one variable,numeric_student_produced_response,hard,draft,candidate_for_automated_review,info,8,Proceed to automated GPT-5.5 item review; do not export until the automated gate passes.
ITEM-018,1,18,Advanced Math,Equivalent expressions,multiple_choice,hard,draft,candidate_for_automated_review,info,C,Proceed to automated GPT-5.5 item review; do not export until the automated gate passes.
ITEM-019,2,1,Algebra,Linear equations in one variable,multiple_choice,easy,draft,candidate_for_automated_review,info,C,Proceed to automated GPT-5.5 item review; do not export until the automated gate passes.
ITEM-020,2,2,Advanced Math,Equivalent expressions,multiple_choice,easy,draft,candidate_for_automated_review,info,B,Proceed to automated GPT-5.5 item review; do not export until the automated gate passes.
ITEM-021,2,3,Problem-Solving and Data Analysis,Probability and conditional probability,multiple_choice,easy,draft,candidate_for_automated_review,info,B,Proceed to automated GPT-5.5 item review; do not export until the automated gate passes.
ITEM-022,2,4,Geometry and Trigonometry,"Lines, angles, and triangles",multiple_choice,easy,draft,candidate_for_automated_review,info,A,Proceed to automated GPT-5.5 item review; do not export until the automated gate passes.
ITEM-023,2,5,Algebra,Linear equations in two variables,multiple_choice,easy,draft,candidate_for_automated_review,info,D,Proceed to automated GPT-5.5 item review; do not export until the automated gate passes.
ITEM-024,2,6,Advanced Math,Nonlinear functions,multiple_choice,easy,draft,candidate_for_automated_review,info,B,Proceed to automated GPT-5.5 item review; do not export until the automated gate passes.
ITEM-025,2,7,Algebra,Linear functions,multiple_choice,medium,draft,candidate_for_automated_review,info,A,Proceed to automated GPT-5.5 item review; do not export until the automated gate passes.
ITEM-026,2,8,Advanced Math,Nonlinear equations in one variable,numeric_student_produced_response,medium,draft,candidate_for_automated_review,info,4,Proceed to automated GPT-5.5 item review; do not export until the automated gate passes.
ITEM-027,2,9,Geometry and Trigonometry,"Lines, angles, and triangles",multiple_choice,medium,draft,candidate_for_automated_review,info,C,Proceed to automated GPT-5.5 item review; do not export until the automated gate passes.
ITEM-028,2,10,Algebra,Linear equations in one variable,numeric_student_produced_response,medium,draft,candidate_for_automated_review,info,48,Proceed to automated GPT-5.5 item review; do not export until the automated gate passes.
ITEM-029,2,11,Advanced Math,Equivalent expressions,multiple_choice,medium,draft,candidate_for_automated_review,info,A,Proceed to automated GPT-5.5 item review; do not export until the automated gate passes.
ITEM-030,2,12,Problem-Solving and Data Analysis,Percentages,numeric_student_produced_response,medium,draft,candidate_for_automated_review,info,150,Proceed to automated GPT-5.5 item review; do not export until the automated gate passes.
ITEM-031,2,13,Algebra,Linear functions,multiple_choice,medium,draft,candidate_for_automated_review,info,C,Proceed to automated GPT-5.5 item review; do not export until the automated gate passes.
ITEM-032,2,14,Advanced Math,Nonlinear equations in one variable,multiple_choice,hard,draft,candidate_for_automated_review,info,A,Proceed to automated GPT-5.5 item review; do not export until the automated gate passes.
ITEM-033,2,15,Geometry and Trigonometry,Right triangles and trigonometry,numeric_student_produced_response,hard,draft,candidate_for_automated_review,info,16,Proceed to automated GPT-5.5 item review; do not export until the automated gate passes.
ITEM-034,2,16,Algebra,Linear inequalities in one or two variables,multiple_choice,hard,draft,candidate_for_automated_review,info,B,Proceed to automated GPT-5.5 item review; do not export until the automated gate passes.
ITEM-035,2,17,Advanced Math,Nonlinear functions,numeric_student_produced_response,hard,draft,candidate_for_automated_review,info,27,Proceed to automated GPT-5.5 item review; do not export until the automated gate passes.
ITEM-036,2,18,Advanced Math,Nonlinear equations in one variable,multiple_choice,hard,draft,candidate_for_automated_review,info,B,Proceed to automated GPT-5.5 item review; do not export until the automated gate passes.
